DateTime,Pressure,Unit,Temperature(℃),Interval (S)
10/04/2023 10:15:02,48,psi,22.6,1
10/04/2023 10:15:03,48,psi,22.6,1
10/04/2023 10:15:04,47,psi,22.6,1
10/04/2023 10:15:05,47,psi,22.6,1
10/04/2023 10:15:06,49,psi,22.6,1
10/04/2023 10:15:07,47,psi,22.6,1
10/04/2023 10:15:08,48,psi,22.6,1
10/04/2023 10:15:09,47,psi,22.6,1
10/04/2023 10:15:10,47,psi,22.6,1
10/04/2023 10:15:11,49,psi,22.6,1
10/04/2023 10:15:12,48,psi,22.6,1
10/04/2023 10:15:13,46,psi,22.6,1
10/04/2023 10:15:14,50,psi,22.6,1
10/04/2023 10:15:15,61,psi,22.6,1
10/04/2023 10:15:16,75,psi,22.6,1
10/04/2023 10:15:17,90,psi,22.6,1
10/04/2023 10:15:18,107,psi,22.6,1
10/04/2023 10:15:19,121,psi,22.6,1
10/04/2023 10:15:20,139,psi,22.6,1
10/04/2023 10:15:21,157,psi,22.6,1
10/04/2023 10:15:22,176,psi,22.6,1
10/04/2023 10:15:23,194,psi,22.6,1
10/04/2023 10:15:24,214,psi,22.6,1
10/04/2023 10:15:25,233,psi,22.6,1
10/04/2023 10:15:26,253,psi,22.6,1
10/04/2023 10:15:27,272,psi,22.6,1
10/04/2023 10:15:28,291,psi,22.6,1
10/04/2023 10:15:29,312,psi,22.6,1
10/04/2023 10:15:30,332,psi,22.6,1
10/04/2023 10:15:31,355,psi,22.6,1
10/04/2023 10:15:32,377,psi,22.6,1
10/04/2023 10:15:33,402,psi,22.6,1
10/04/2023 10:15:34,426,psi,22.6,1
10/04/2023 10:15:35,455,psi,22.6,1
10/04/2023 10:15:36,482,psi,22.6,1
10/04/2023 10:15:37,509,psi,22.6,1
10/04/2023 10:15:38,538,psi,22.6,1
10/04/2023 10:15:39,567,psi,22.6,1
10/04/2023 10:15:40,594,psi,22.6,1
10/04/2023 10:15:41,624,psi,22.6,1
10/04/2023 10:15:42,651,psi,22.6,1
10/04/2023 10:15:43,678,psi,22.6,1
10/04/2023 10:15:44,707,psi,22.6,1
10/04/2023 10:15:45,733,psi,22.6,1
10/04/2023 10:15:46,763,psi,22.6,1
10/04/2023 10:15:47,795,psi,22.6,1
10/04/2023 10:15:48,825,psi,22.6,1
10/04/2023 10:15:49,859,psi,22.6,1
10/04/2023 10:15:50,898,psi,22.6,1
10/04/2023 10:15:51,936,psi,22.6,1
10/04/2023 10:15:52,975,psi,22.6,1
10/04/2023 10:15:53,1016,psi,22.6,1
10/04/2023 10:15:54,1056,psi,22.6,1
10/04/2023 10:15:55,1097,psi,22.6,1
10/04/2023 10:15:56,1140,psi,22.6,1
10/04/2023 10:15:57,1184,psi,22.6,1
10/04/2023 10:15:58,1227,psi,22.6,1
10/04/2023 10:15:59,1270,psi,22.6,1
10/04/2023 10:16:00,1316,psi,22.6,1
10/04/2023 10:16:01,1359,psi,22.6,1
10/04/2023 10:16:02,1403,psi,22.6,1
10/04/2023 10:16:03,1441,psi,22.6,1
10/04/2023 10:16:04,1479,psi,22.6,1
10/04/2023 10:16:05,1513,psi,22.6,1
10/04/2023 10:16:06,1546,psi,22.6,1
10/04/2023 10:16:07,1580,psi,22.6,1
10/04/2023 10:16:08,1616,psi,22.6,1
10/04/2023 10:16:09,1658,psi,22.6,1
10/04/2023 10:16:10,1702,psi,22.6,1
10/04/2023 10:16:11,1750,psi,22.6,1
10/04/2023 10:16:12,1797,psi,22.6,1
10/04/2023 10:16:13,1844,psi,22.6,1
10/04/2023 10:16:14,1894,psi,22.6,1
10/04/2023 10:16:15,1943,psi,22.6,1
10/04/2023 10:16:16,1990,psi,22.6,1
10/04/2023 10:16:17,2040,psi,22.6,1
10/04/2023 10:16:18,2157,psi,22.6,1
10/04/2023 10:16:19,2270,psi,22.6,1
10/04/2023 10:16:20,2357,psi,22.6,1
10/04/2023 10:16:21,2426,psi,22.6,1
10/04/2023 10:16:22,2519,psi,22.6,1
10/04/2023 10:16:23,2626,psi,22.6,1
10/04/2023 10:16:24,2660,psi,22.6,1
10/04/2023 10:16:25,2627,psi,22.6,1
10/04/2023 10:16:26,2681,psi,22.6,1
10/04/2023 10:16:27,2655,psi,22.6,1
10/04/2023 10:16:28,2709,psi,22.6,1
10/04/2023 10:16:29,2685,psi,22.6,1
10/04/2023 10:16:30,2668,psi,22.6,1
10/04/2023 10:16:31,2650,psi,22.6,1
10/04/2023 10:16:32,2638,psi,22.6,1
10/04/2023 10:16:33,2625,psi,22.6,1
10/04/2023 10:16:34,2613,psi,22.6,1
10/04/2023 10:16:35,2604,psi,22.6,1
10/04/2023 10:16:36,2594,psi,22.6,1
10/04/2023 10:16:37,2584,psi,22.6,1
10/04/2023 10:16:38,2577,psi,22.6,1
10/04/2023 10:16:39,2568,psi,22.6,1
10/04/2023 10:16:40,2561,psi,22.6,1
10/04/2023 10:16:41,2554,psi,22.6,1
10/04/2023 10:16:42,2546,psi,22.6,1
10/04/2023 10:16:43,2540,psi,22.6,1
10/04/2023 10:16:44,2535,psi,22.6,1
10/04/2023 10:16:45,2529,psi,22.6,1
